fecha,aero,v1,v2,vb1,vb2,w1,w2,n1,n2,n3,t1,td,qnh,closed,Metar
Nov2003-041500Z,SPZO,VRB03KT,,9999,,,,SCT043,,,16,4,1031,0,"('SPZO', 'Nov2003-041500Z', 'VRB03KT', '9999', 'SCT043', '16/04', 'Q1031')"
Nov2003-041600Z,SPZO,VRB02KT,,9999,,,,SCT043,,,18,3,1030,0,"('SPZO', 'Nov2003-041600Z', 'VRB02KT', '9999', 'SCT043', '18/03', 'Q1030')"
Nov2003-041700Z,SPZO,VRB05KT,,9999,,,,FEW043,,,20,M00,1028,0,"('SPZO', 'Nov2003-041700Z', 'VRB05KT', '9999', 'FEW043', '20/M00', 'Q1028')"
Nov2003-041800Z,SPZO,VRB05KT,,9999,,,,FEW043,,,21,M00,1027,0,"('SPZO', 'Nov2003-041800Z', 'VRB05KT', '9999', 'FEW043', '21/M00', 'Q1027')"
Nov2003-041900Z,SPZO,VRB03KT,,9999,,,,FEW050,,,23,0,1026,0,"('SPZO', 'Nov2003-041900Z', 'VRB03KT', '9999', 'FEW050', '23/00', 'Q1026')"
Nov2003-042000Z,SPZO,VRB04KT,,9999,,,,FEW060,,,22,M01,1024,0,"('SPZO', 'Nov2003-042000Z', 'VRB04KT', '9999', 'FEW060', '22/M01', 'Q1024')"
Nov2003-042100Z,SPZO,VRB03KT,,9999,,,,FEW060,,,22,M02,1024,0,"('SPZO', 'Nov2003-042100Z', 'VRB03KT', '9999', 'FEW060', '22/M02', 'Q1024')"
Nov2003-042200Z,SPZO,VRB03KT,,9999,,,,FEW060,,,22,M04,1024,0,"('SPZO', 'Nov2003-042200Z', 'VRB03KT', '9999', 'FEW060', '22/M04', 'Q1024')"
Nov2003-042300Z,SPZO,34010KT,270V350,9999,,,,SKC,,,19,M00,1024,0,"('SPZO', 'Nov2003-042300Z', '34010KT', '270V350', '9999', 'SKC', '19/M00', 'Q1024')"
Nov2003-050000Z,SPZO,27009KT,,9999,,,,SKC,,,16,5,1026,0,"('SPZO', 'Nov2003-050000Z', '27009KT', '9999', 'SKC', '16/05', 'Q1026')"
Nov2003-050100Z,SPZO,10007KT,,9999,,,,SKC,,,13,6,1028,0,"('SPZO', 'Nov2003-050100Z', '10007KT', '9999', 'SKC', '13/06', 'Q1028')"
Nov2003-050200Z,SPZO,09008KT,,9999,,,,SKC,,,12,6,1029,0,"('SPZO', 'Nov2003-050200Z', '09008KT', '9999', 'SKC', '12/06', 'Q1029')"
Nov2003-050300Z,SPZO,15004KT,090V200,9999,,,,SKC,,,12,6,1030,0,"('SPZO', 'Nov2003-050300Z', '15004KT', '090V200', '9999', 'SKC', '12/06', 'Q1030')"
Nov2003-050400Z,SPZO,00000KT,,9999,,,,SKC,,,10,6,1030,0,"('SPZO', 'Nov2003-050400Z', '00000KT', '9999', 'SKC', '10/06', 'Q1030')"
Nov2003-050500Z,SPZO,00000KT,,9999,,,,SKC,,,9,6,1030,0,"('SPZO', 'Nov2003-050500Z', '00000KT', '9999', 'SKC', '09/06', 'Q1030')"
Nov2003-050600Z,SPZO,00000KT,,9999,,,,SKC,,,9,6,1029,0,"('SPZO', 'Nov2003-050600Z', '00000KT', '9999', 'SKC', '09/06', 'Q1029')"
Nov2003-050700Z,SPZO,00000KT,,9999,,,,SKC,,,8,5,1029,0,"('SPZO', 'Nov2003-050700Z', '00000KT', '9999', 'SKC', '08/05', 'Q1029')"
Nov2003-050800Z,SPZO,00000KT,,9999,,,,SKC,,,8,5,1029,0,"('SPZO', 'Nov2003-050800Z', '00000KT', '9999', 'SKC', '08/05', 'Q1029')"
Nov2003-050900Z,SPZO,00000KT,,9999,,,,SKC,,,7,5,1029,0,"('SPZO', 'Nov2003-050900Z', '00000KT', '9999', 'SKC', '07/05', 'Q1029')"
Nov2003-051000Z,SPZO,00000KT,,9999,,,,FEW060,,,6,5,1030,0,"('SPZO', 'Nov2003-051000Z', '00000KT', '9999', 'FEW060', '06/05', 'Q1030')"
Nov2003-051100Z,SPZO,00000KT,,9999,,,,SCT050,,,7,5,1030,0,"('SPZO', 'Nov2003-051100Z', '00000KT', '9999', 'SCT050', '07/05', 'Q1030')"
Nov2003-051200Z,SPZO,VRB01KT,,9999,,,,FEW046,,,12,6,1031,0,"('SPZO', 'Nov2003-051200Z', 'VRB01KT', '9999', 'FEW046', '12/06', 'Q1031')"
Nov2003-051300Z,SPZO,VRB01KT,,9999,,,,FEW046,,,15,5,1032,0,"('SPZO', 'Nov2003-051300Z', 'VRB01KT', '9999', 'FEW046', '15/05', 'Q1032')"
Nov2003-051400Z,SPZO,VRB02KT,,9999,,,,FEW060,,,17,3,1031,0,"('SPZO', 'Nov2003-051400Z', 'VRB02KT', '9999', 'FEW060', '17/03', 'Q1031')"
Nov2003-051500Z,SPZO,VRB03KT,,9999,,,,FEW060,,,18,2,1030,0,"('SPZO', 'Nov2003-051500Z', 'VRB03KT', '9999', 'FEW060', '18/02', 'Q1030')"
Nov2003-051600Z,SPZO,02008KT,340V080,9999,,,,FEW060,,,20,0,1029,0,"('SPZO', 'Nov2003-051600Z', '02008KT', '340V080', '9999', 'FEW060', '20/00', 'Q1029')"
Nov2003-051700Z,SPZO,VRB04KT,,9999,,,,FEW060,,,22,M03,1028,0,"('SPZO', 'Nov2003-051700Z', 'VRB04KT', '9999', 'FEW060', '22/M03', 'Q1028')"
Nov2003-051800Z,SPZO,32007KT,240V020,9999,,,,SCT060,,,23,M02,1026,0,"('SPZO', 'Nov2003-051800Z', '32007KT', '240V020', '9999', 'SCT060', '23/M02', 'Q1026')"
Nov2003-051900Z,SPZO,15006KT,090V190,9999,,,,SCT060,,,23,M02,1025,0,"('SPZO', 'Nov2003-051900Z', '15006KT', '090V190', '9999', 'SCT060', '23/M02', 'Q1025')"
Nov2003-052000Z,SPZO,VRB06KT,,9999,,,,FEW060,,,23,M05,1024,0,"('SPZO', 'Nov2003-052000Z', 'VRB06KT', '9999', 'FEW060', '23/M05', 'Q1024')"
